"station_id","name","mode","lat","lon","year_opens","act","lines","color","src"
"X072","Fort Worth T&P","commuter","32.745306","-97.329001","2025","4927","Texrail;TexPress Expansion;TRE;Alvarado Line (ROW)","#5b6770","extra"
"X073","Fort Worth Central","commuter","32.751994","-97.325572","2025","42667","Texrail;TexRail 3rd exp;SE TexRail;FTW/Denton;TRE;Bowie Line (ROW);Gainesville Line (ROW)","#5b6770","extra"
"X318","DFW Airport North","metro","32.934261","-97.054329","2025","0","Cotton Belt","#8c969e","extra"
"X317","DFW Airport Terminal B","metro","32.906918","-97.041221","2025","0","Cotton Belt;Texrail;Orange Line","#8c969e","extra"
"X074","North Side","commuter","32.795759","-97.338064","2025","0","Texrail","#5b6770","extra"
"X077","North Richland Hills/Smithfield","commuter","32.864882","-97.211686","2025","0","Texrail","#5b6770","extra"
"X078","Grapevine-Main Street","commuter","32.933708","-97.077642","2025","0","Texrail","#5b6770","extra"
"X075","Mercantile Center","commuter","32.819569","-97.292877","2025","0","Texrail","#5b6770","extra"
"X076","North Richland Hills/Iron Horse","commuter","32.844595","-97.249724","2025","0","Texrail","#5b6770","extra"
"X325","12th Street","metro","33.015498","-96.698026","2025","0","Cotton Belt","#8c969e","extra"
"X194","Ledbetter","metro","32.682824","-96.788722","2025","0","Blue Line","#A1C2FA","extra"
"X326","Shiloh Road","metro","33.0125","-96.66537","2025","0","Cotton Belt","#8c969e","extra"
"X323","UT Dallas","metro","32.996497","-96.749607","2025","0","Cotton Belt","#8c969e","extra"
"X319","Cypress Waters","metro","32.950817","-96.982823","2025","0","Cotton Belt","#8c969e","extra"
"X322","Knoll Trail","metro","32.962958","-96.817204","2025","0","Cotton Belt","#8c969e","extra"
"X321","Addison","metro","32.959128","-96.827719","2025","0","Cotton Belt","#8c969e","extra"
"X091","Hebron","commuter","33.010593","-96.958731","2025","0","A Train","#5b6770","extra"
"X087","Trinity Lakes","commuter","32.805216","-97.21005","2025","0","TRE","#5b6770","extra"
"X092","Old Town","commuter","33.047791","-96.986572","2025","0","A Train","#5b6770","extra"
"X097","Belt Line","metro","32.887681","-96.986145","2025","0","Orange Line","#F57C00","extra"
"X095","Downtown Denton Transit Center","commuter","33.21385","-97.126216","2025","10865","A Train;FTW/Denton","#5b6770","extra"
"X093","Highland Village/Lewisville Lake","commuter","33.083903","-97.026097","2025","0","A Train","#5b6770","extra"
"X094","MedPark","commuter","33.182633","-97.091034","2025","0","A Train","#5b6770","extra"
"X084","West Irving","commuter","32.816138","-97.00777","2025","0","TRE","#5b6770","extra"
"X082","Medical/Market Center","commuter","32.809647","-96.841013","2025","40172","TRE;Ross Avenue BRT","#5b6770","extra"
"X085","CentrePort/DFW Airport","commuter","32.817043","-97.053542","2025","0","TRE","#5b6770","extra"
"X086","Bell","commuter","32.804628","-97.155799","2025","0","TRE","#5b6770","extra"
"X083","Downtown Irving/Heritage Crossing","commuter","32.814967","-96.948368","2025","0","TRE","#5b6770","extra"
"X041","Sundance Square SW","commuter","32.726976","-97.347332","2035","14260","TexPress Expansion","#5b6770","extra"
"X013","Six Points","brt","32.771588","-97.304906","2035","11718","3","#00838f","extra"
"X535","Sundance Square S","commuter","32.718392","-97.32487","2035","11586","Alvarado Line (ROW)","#5b6770","extra"
"X042","Sundance Square SW2","commuter","32.699481","-97.355351","2035","10581","TexPress Expansion","#5b6770","extra"
"X044","Texas Health Care Rheumatology","commuter","32.653816","-97.406791","2035","10007","TexPress Expansion","#5b6770","extra"
"X536","Tarrant County College South Campus NW","commuter","32.687373","-97.32941","2035","9288","Alvarado Line (ROW)","#5b6770","extra"
"X016","Sundance Square SE2","brt","32.723506","-97.304256","2035","6482","3","#00838f","extra"
"X018","Forest Hill","brt","32.690185","-97.295066","2035","6115","3","#00838f","extra"
"X538","Lytle","commuter","32.625449","-97.333281","2035","5527","Alvarado Line (ROW)","#5b6770","extra"
"X014","Fort Worth","brt","32.758462","-97.301758","2035","5340","3;Woodhaven direct","#00838f","extra"
"X015","Sundance Square SE","brt","32.741041","-97.30292","2035","5109","3","#00838f","extra"
"X541","Alvarado","commuter","32.406212","-97.20744","2035","2448","Alvarado Line (ROW)","#5b6770","extra"
"X046","Primrose","commuter","32.599686","-97.441755","2035","0","TexPress Expansion","#5b6770","extra"
"X210","Arts District","metro","32.785542","-96.802313","2040","109471","DNT Line - West","#E6EE9C","extra"
"X209","Pearl","metro","32.793373","-96.804541","2040","79715","DNT Line - West;Silver;Ross Avenue BRT","#E6EE9C","extra"
"X516","Uptown","brt","32.793671","-96.795061","2040","69775","Ross Avenue BRT","#00838f","extra"
"X513","Design District","brt","32.802911","-96.831542","2040","56232","Ross Avenue BRT","#00838f","extra"
"X211","Downtown","metro","32.77474","-96.793066","2040","48440","DNT Line - West","#E6EE9C","extra"
"X517","Old East Dallas","brt","32.802856","-96.780246","2040","45246","Ross Avenue BRT","#00838f","extra"
"X570","Dallas","commuter","32.773278","-96.806906","2040","35140","Terrell Line (ROW);Ennis Line (ROW)","#5b6770","extra"
