"geoid","pop","jobs","lat","lon"
"480850306095","1635","608","33.201339","-96.670296"
"481130141431","4682","9293","32.900604","-96.947186"
"484391048032","1905","3","32.688369","-97.345294"
"481130078322","1525","23","32.868059","-96.75301"
"482511302191","1368","46","32.496024","-97.298294"
"484391140093","2985","79","32.857665","-97.406627"
"481130018021","2191","9575","32.800383","-96.805683"
"481210201372","2383","132","33.214948","-96.934857"
"481130162042","1287","7","32.718495","-97.000462"
"481210216451","2083","1607","33.039789","-96.93635"
"480850316331","1505","21","33.067761","-96.730877"
"484391054052","2004","1166","32.696195","-97.414559"
"481390606013","1565","1135","32.410973","-96.846566"
"484391216141","1504","647","32.739561","-97.133308"
"480850313211","2241","210","33.015609","-96.501498"
"481130138051","2761","149","32.935596","-96.852084"
"480850313281","1894","136","33.027232","-96.615396"
"481130137181","1406","9","32.965011","-96.893236"
"481130111051","2086","72","32.656763","-96.827728"
"481210217361","1156","201","33.000769","-96.983238"
"484391114102","1317","5","32.665109","-97.212279"
"481210204042","2378","220","33.262764","-97.145691"
"481130180011","1520","157","32.838705","-96.635901"
"481130176052","1352","36","32.757773","-96.644386"
"484391221003","1365","1543","32.730337","-97.085669"
"484391105005","1407","244","32.773519","-97.392152"
"484391110193","1412","491","32.621495","-97.343902"
"481130170082","2359","1104","32.654055","-96.535858"
"481130053004","2226","63","32.73494","-96.865988"
"481130182061","1709","174","32.886475","-96.62588"
"484391024021","1679","263","32.707073","-97.426826"
"480850309034","2642","242","33.191334","-96.60579"
"484391227022","1804","11824","32.710714","-97.126461"
"481130015033","733","654","32.79893","-96.780569"
"481390604002","2037","37","32.379037","-96.822911"
"484391065091","1165","121","32.763002","-97.157197"
"481130110033","1552","12","32.677411","-96.845131"
"484391055132","675","150","32.673324","-97.414427"
"484391115431","1710","237","32.6487","-97.119593"
"481210214211","2036","880","33.133029","-97.049321"
"484391137123","2132","3287","32.937245","-97.068447"
"481130079141","1348","17","32.842525","-96.765194"
"481130166322","1735","49","32.579787","-96.862915"
"480850302061","3303","271","33.295122","-96.578781"
"484391115452","1570","144","32.688139","-97.158921"
"481130192082","2166","8","32.931309","-96.764824"
"481130078311","1443","22","32.866119","-96.755676"
"480850305383","1924","838","33.181619","-96.73749"
"481130109043","1568","1393","32.67125","-96.879439"
"481210217311","1863","127","33.011406","-97.009266"
"481130141531","1285","590","32.848974","-96.996055"
"481130018012","1453","1269","32.805569","-96.800817"
"481210201341","2744","71","33.20654","-96.895285"
"481130182031","2023","57","32.89671","-96.607087"
"481130167092","2526","3735","32.61424","-96.814864"
"481130190241","1986","801","32.935009","-96.690634"
"484391138033","2148","39","32.886697","-97.241328"
"481130095001","1016","784","32.884604","-96.847184"
"481130173121","1438","56","32.749209","-96.57964"
"481130204021","3621","15197","32.778321","-96.788437"
"481130077022","1017","64","32.866904","-96.800665"
"480850316431","2168","466","33.067566","-96.740377"
"484391065152","890","151","32.770827","-97.226694"
"481210206032","1781","36","33.224435","-97.111833"
"484391115682","1776","34","32.623158","-97.11148"
"481130136192","1871","194","32.971431","-96.793516"
"484391115571","1451","26","32.702229","-97.076052"
"481130181472","1464","155","32.86896","-96.585661"
"484391027003","839","189","32.737129","-97.374886"
"481130137272","1211","823","32.984941","-96.835515"
"484391043013","1117","314","32.701372","-97.358066"
