"station_id","name","mode","src","year_opens","term","act1k","fwy_m","feasibility","lat","lon"
"X567","Prosper","commuter","extra","2050","0","6939","2213","moderate","33.238827","-96.806499"
"S042","Lake Worth","metro","fw","2055","1","6988","102","moderate","32.8122","-97.4298"
"X549","Fort Worth Stockyards National Historic District NE","commuter","extra","2070","0","7070","770","moderate","32.806027","-97.32677"
"X273","Mesquite","metro","extra","2050","0","7107","1325","moderate","32.769479","-96.6374"
"X532","Cockrell Hill NE","brt","extra","2045","0","7139","2616","moderate","32.743616","-96.873627"
"S004","Stockyards Main","metro","fw","2035","0","7252","5073","moderate","32.788871","-97.349159"
"X422","Reinhardt W2","metro","extra","2060","0","7364","4210","moderate","32.832544","-96.703823"
"X454","Shady Grove","metro","extra","2065","0","7413","715","moderate","32.803394","-97.026115"
"X049","Edgecliff Village SW","commuter","extra","2060","0","7427","2821","moderate","32.641218","-97.353828"
"X580","Terrell","commuter","extra","2040","1","7438","1000000","moderate","32.735395","-96.275354"
"S030","Ridglea Hills","metro","fw","2040","0","7448","701","moderate","32.728315","-97.416349"
"X494","Ridglea Hills","brt","extra","2060","0","7448","702","moderate","32.728311","-97.416346"
"X338","SpringPark","brt","extra","2065","0","7461","2770","moderate","32.945151","-96.658519"
"X224","Addison","metro","extra","2045","0","7471","306","moderate","32.985992","-96.825475"
"X302","Bishop Arts District","metro","extra","2070","0","7476","56","moderate","32.738123","-96.824648"
"S038","Polytechnic/Weslyan","metro","fw","2040","0","7477","1376","moderate","32.731635","-97.283472"
"S005","Marine Park","metro","fw","2035","0","7547","4260","moderate","32.781243","-97.348986"
"X472","Marine Park","brt","extra","2060","0","7547","4259","moderate","32.781215","-97.349047"
"X343","Prestonwood","brt","extra","2065","0","7552","2811","moderate","32.949973","-96.780832"
"X498","Allen","commuter","extra","2040","0","7556","599","moderate","33.103176","-96.670553"
"X507","Eating Recovery Center Dallas / Plano SE","metro","extra","2050","0","7579","3680","moderate","33.065622","-96.791817"
"X204","NW Highway and Marsh","metro","extra","2040","0","7658","4105","moderate","32.861413","-96.85671"
"X492","Waterside","brt","extra","2060","0","7695","542","moderate","32.69897","-97.411832"
"X059","Sundance Square S2","commuter","extra","2045","0","7799","12","moderate","32.703517","-97.320866"
"X430","Ambercrest","metro","extra","2065","0","7802","3917","moderate","32.639556","-97.1346"
"X459","Great Southwest","metro","extra","2065","0","7828","2964","moderate","32.732669","-97.045911"
"X051","Sundance Square S4","commuter","extra","2060","0","7933","3481","moderate","32.698878","-97.347578"
"X519","Swiss Avenue Historic District E","brt","extra","2040","1","7958","2299","moderate","32.812082","-96.752256"
"X280","Lindberg E","metro","extra","2070","0","7974","595","moderate","32.680454","-97.195266"
"X009","White Settlement SW","brt","extra","2060","0","8045","333","moderate","32.74124","-97.467818"
"X509","Epic Strides E","metro","extra","2050","0","8093","5918","moderate","33.056879","-96.754307"
"X423","Reinhardt","metro","extra","2060","0","8093","2897","moderate","32.846252","-96.68701"
"X354","Cypress Waters","brt","extra","2065","0","8123","924","moderate","32.933014","-96.993699"
"X410","Metrocare hillside adult mental health clinic and primary care S","metro","extra","2060","0","8144","1725","moderate","32.751744","-96.875119"
"X482","Ederville SW","brt","extra","2060","0","8169","67","moderate","32.748642","-97.221013"
"S049","Bluebonnet Circle","metro","fw","2035","1","8227","3177","moderate","32.6991","-97.3604"
"X331","New Hope","brt","extra","2065","0","8240","724","moderate","32.832896","-96.595815"
"X559","Fort Worth Stockyards National Historic District","commuter","extra","2055","0","8252","3729","moderate","32.793628","-97.338995"
"X347","Addison S Central","brt","extra","2065","0","8356","1476","moderate","32.954259","-96.838661"
"X464","Chester Village","metro","extra","2065","0","8379","1522","moderate","32.64489","-97.046062"
"X493","Ridgmar Mall SE","brt","extra","2060","0","8379","1085","moderate","32.715778","-97.411961"
"S052","Woodhaven","metro","fw","2050","0","8485","434","moderate","32.7638","-97.2261"
"X301","Oak Cliff E","metro","extra","2070","0","8490","151","moderate","32.718279","-96.829926"
"X510","Epic Strides E2","metro","extra","2050","0","8517","5508","moderate","33.053812","-96.731579"
"X067","Watauga W","commuter","extra","2045","0","8592","2446","moderate","32.861858","-97.264477"
"S027","Stonegate","metro","fw","2035","0","8710","610","moderate","32.71112","-97.386631"
"X475","Haltom City","brt","extra","2060","0","8726","1863","moderate","32.795064","-97.286195"
"X420","Lakewood","metro","extra","2060","0","8798","2317","moderate","32.81273","-96.737445"
"S025","Hemphill/Berry","metro","fw","2055","0","8973","1026","moderate","32.705877","-97.331703"
"X488","Hemphill/Berry","brt","extra","2060","0","8973","1026","moderate","32.705848","-97.331702"
"X289","North Westchester Meadows","metro","extra","2070","0","8984","45","moderate","32.676136","-97.009154"
"X221","Dallas Baptist University (DBU North)","metro","extra","2045","0","9101","703","moderate","33.047616","-96.822107"
"X371","Hillside Village SE","brt","extra","2065","0","9146","850","moderate","32.590047","-96.933692"
"X058","Tarrant County College South Campus N","commuter","extra","2045","0","9200","2018","moderate","32.686117","-97.293445"
"X251","Irving","metro","extra","2050","0","9236","2432","moderate","32.859056","-96.963966"
"S029","Waterside","metro","fw","2035","0","9260","815","moderate","32.698982","-97.415358"
"X536","Tarrant County College South Campus NW","commuter","extra","2035","0","9288","817","moderate","32.687373","-97.32941"
"X370","Hillside Village W","brt","extra","2065","0","9370","1551","moderate","32.605756","-96.951891"
"X328","Mesquite N","brt","extra","2065","0","9387","927","moderate","32.781885","-96.595817"
"X574","Fair Park E8","commuter","extra","2040","0","9410","1899","moderate","32.77667","-96.701978"
"X490","Bluebonnet Circle","brt","extra","2060","0","9433","2750","moderate","32.702455","-97.365547"
"X359","Irving W","brt","extra","2065","0","9497","311","moderate","32.83413","-96.993594"
